"","participant","univ","vote","confident","comment","id","question"
"5980","pete klenow","Stanford","Agree","5","It sure looks like it's been adding uncertainty lately (e.g. 2011). But it could conceivably be a force for good.<br><a href=""http://www.policyuncertainty.com/"" target=""_blank-see background information here</a><br><a href=""http://online.wsj.com/article/SB10001424127887323374504578220011077248152.html?KEYWORDS=dean+karlan"" target=""_blank-see background information here</a><br>",100,1
"5981","jonathan levin","Stanford","Agree","5","Might not have given the same answer two years ago, but at this point, seems hard to disagree.<br>",100,1
"5982","eric maskin","Harvard","Agree","7","",100,1
"5983","william nordhaus","Yale","Agree","8","",100,1
"5984","maurice obstfeld","Berkeley","Strongly Agree","9","",100,1
"5985","emmanuel saez","Berkeley","Agree","5","",100,1
"5986","jose scheinkman","Princeton","Agree","7","",100,1
"5987","richard schmalensee","MIT","Strongly Agree","9","Just read the paper.<br>",100,1
"5988","hyun song-shin","Princeton","Agree","7","",100,1
"5989","nancy stokey","Chicago","No Opinion","","",100,1
"5990","richard thaler","Chicago","Strongly Agree","10","The debt ceiling is a dumb idea with no benefits and potentially catestrophic costs if ever used. <br>",100,1
"5991","christopher udry","Yale","Strongly Agree","9","",100,1
"5992","luigi zingales","Chicago","Disagree","5","It can also lead to potential better outcomes<br>",100,1
"5993","daron acemoglu","MIT","Disagree","6","",101,1
"5994","alberto alesina","Harvard","Did Not Answer","","",101,1
"5995","joseph altonji","Yale","Disagree","5","",101,1
"5996","alan auerbach","Berkeley","Disagree","5","",101,1
"5997","david autor","MIT","Disagree","3","Targeted sectoral subsidies almost always a special interest boondoggle. And why does small business helps average citizen more than large?<br>",101,1
"5998","katherine baicker","Chicago","Strongly Disagree","4","",101,1
"5999","marianne bertrand","Chicago","Disagree","4","",101,1
"6000","raj chetty","Stanford","Disagree","6","",101,1
"6001","judith chevalier","Yale","Disagree","8","",101,1
"6002","janet currie","Princeton","Disagree","8","",101,1
"6003","david cutler","Harvard","Disagree","5","",101,1
"6004","angus deaton","Princeton","Disagree","7","",101,1
"6005","darrell duffie","Stanford","Disagree","2","On its face, ""small"" need not be better. To prioritize implies a loss relative to the unprioritized optimum, barring more information. <br>",101,1
"6006","aaron edlin","Berkeley","Did Not Answer","","",101,1
"6007","barry eichengreen","Berkeley","Disagree","5","",101,1
"6008","ray fair","Yale","Strongly Disagree","10","",101,1
"6009","pinelopi goldberg","Yale","No Opinion","","",101,1
"6010","claudia goldin","Harvard","Strongly Disagree","3","",101,1
"6011","austan goolsbee","Chicago","Uncertain","1","",101,1
"6012","michael greenstone","Chicago","Disagree","7","",101,1
"6013","robert hall","Stanford","Disagree","7","Small business is held back by the burden of its undiversified idiosyncratic risk. But I don't think the gov can do much about it.<br><a href=""http://www.stanford.edu/~rehall/Hall-Woodward%20on%20entrepreneurship.pdf"" target=""_blank-see background information here</a><br>",101,1
"6014","bengt holmstrom","MIT","Uncertain","6","Government can and should stimulate small business growth with general tax policies. How much and at the exclusiion of what is uncertain.<br>",101,1
"6015","caroline hoxby","Stanford","Strongly Disagree","9","Generally, the government is not in a good position to pick winners/losers in the private sector, and I do not see a clear externality here.<br>",101,1
"6016","kenneth judd","Stanford","Strongly Disagree","8","Many ""average"" Americans work for large businesses. What is the point if this does not improve economic growth?<br>",101,1
"6017","anil kashyap","Chicago","Disagree","7","Small biz create and destroy lots of jobs, there is no reason to favor them at the expense of others<br><a href=""http://faculty.chicagobooth.edu/steven.davis/pdf/1.pdf%20%20"" target=""_blank-see background information here</a><br>",101,1
"6018","pete klenow","Stanford","Uncertain","10","This could well be true, but I don't think we know. Meanwhile, favoring small businesses for job creation seems to be doubly misguided.<br><a href=""http://www.nber.org/papers/w16300"" target=""_blank-see background information here</a><br>",101,1
"6019","jonathan levin","Stanford","Disagree","5","",101,1
"6020","eric maskin","Harvard","No Opinion","","",101,1
"6021","william nordhaus","Yale","Strongly Disagree","7","",101,1
"6022","maurice obstfeld","Berkeley","Strongly Disagree","7","",101,1
"6023","emmanuel saez","Berkeley","Uncertain","4","",101,1
"6024","jose scheinkman","Princeton","Strongly Disagree","9","",101,1
"6025","richard schmalensee","MIT","Strongly Disagree","7","",101,1
"6026","hyun song-shin","Princeton","Uncertain","7","",101,1
"6027","nancy stokey","Chicago","Strongly Disagree","8","",101,1
"6028","richard thaler","Chicago","Disagree","4","Maybe I am missing something but I see no particular reason why this sector should be favored. <br>",101,1
"6029","christopher udry","Yale","Disagree","6","",101,1
"6030","luigi zingales","Chicago","Uncertain","1","",101,1
"6031","daron acemoglu","MIT","Agree","10","",102,1
"6032","alberto alesina","Harvard","Did Not Answer","","",102,1
"6033","joseph altonji","Yale","Uncertain","3","CPI-W probably overstates inflation for the general population, but may understate it for the elderly health costs are for this group.<br><a href=""http://www.newyorkfed.org/research/current_issues/ci9-5/ci9-5.html"" target=""_blank-see background information here</a><br>",102,1
"6034","alan auerbach","Berkeley","Uncertain","3","",102,1
"6035","david autor","MIT","Uncertain","5","Not certain that inflation faced by elderly corresponds perfectly to inflation faced by urban wage earners and clerical workers.<br>",102,1
"6036","katherine baicker","Chicago","Agree","4","",102,1
"6037","marianne bertrand","Chicago","Uncertain","4","",102,1
"6038","raj chetty","Stanford","Agree","8","",102,1
"6039","judith chevalier","Yale","Agree","8","There is both an upward and downward bias in CPI-w. Chaining and capturing elderly consumption would be an improvement <br>",102,1
"6040","janet currie","Princeton","Agree","7","",102,1
"6041","david cutler","Harvard","Uncertain","5","I don't recall the latest research on this.<br>",102,1
"6042","angus deaton","Princeton","Strongly Disagree","10","Neither the curret CPI or an indexed version of it has weights appropriate for the Social Security population, so the claim has no basis.<br>",102,1
"6043","darrell duffie","Stanford","Uncertain","1","I am not aware of the evidence. <br>",102,1
"6044","aaron edlin","Berkeley","Disagree","7","",102,1
"6045","barry eichengreen","Berkeley","Uncertain","5","",102,1
"6046","ray fair","Yale","Agree","5","",102,1
"6047","pinelopi goldberg","Yale","Did Not Answer","","",102,1
"6048","claudia goldin","Harvard","Agree","4","",102,1
"6049","austan goolsbee","Chicago","Agree","10","not to get too deep into price index theory but suffice it to say that this is definitely true<br>",102,1
"6050","michael greenstone","Chicago","Did Not Answer","","",102,1
"6051","robert hall","Stanford","Uncertain","4","The NIPA PCE index, taken by many to be more accurate, turns out to underweight housing, so it's hard to tell.<br>",102,1
"6052","bengt holmstrom","MIT","Did Not Answer","","",102,1
"6053","caroline hoxby","Stanford","Strongly Agree","10","The chained CPI C-CPI-U gets conditional COLI approx right because it allows bundle of goods to adjust. CPI-W is an upper bound on COLI.<br><a href=""http://www.bls.gov/opub/hom/pdf/homch17.pdf"" target=""_blank-see background information here</a><br>",102,1
"6054","kenneth judd","Stanford","Uncertain","5","Is the urban rate of inflation is greater than elsewhere? ""Urban"" covers 87% of the population; see website below.<br><a href=""http://www.bls.gov/cpi/cpifaq.htm"" target=""_blank-see background information here</a><br>",102,1
"6055","anil kashyap","Chicago","Agree","7","Directionally almost has to be true, but the magnitude is uncertain. <br>",102,1
"6056","pete klenow","Stanford","Strongly Agree","10","<a href=""http://www.jstor.org/stable/40506240"" target=""_blank-see background information here</a><br><a href=""http://klenow.com/QRC.pdf"" target=""_blank-see background information here</a><br>",102,1
"6057","jonathan levin","Stanford","Uncertain","4","",102,1
"6058","eric maskin","Harvard","Agree","7","",102,1
"6059","william nordhaus","Yale","Uncertain","9","Poorly conceived question. CPI-W overstates cost of living for all, but not clear for 65+. Two effects seem close to offsetting.<br>",102,1
"6060","maurice obstfeld","Berkeley","Disagree","6","",102,1
"6061","emmanuel saez","Berkeley","Uncertain","6","",102,1
"6062","jose scheinkman","Princeton","No Opinion","","",102,1
"6063","richard schmalensee","MIT","Agree","7","Most agree that the CPI over-states inflation, but it is less clear that the over-statement is substantial.<br>",102,1
"6064","hyun song-shin","Princeton","Did Not Answer","","",102,1
"6065","nancy stokey","Chicago","Uncertain","1","",102,1
"6066","richard thaler","Chicago","Uncertain","1","Hard to say without knowing about healthcare costs.<br>",102,1
"6067","christopher udry","Yale","Agree","8","",102,1
"6068","luigi zingales","Chicago","No Opinion","","",102,1
"6069","daron acemoglu","MIT","Strongly Agree","9","",103,1
"6070","alberto alesina","Harvard","Did Not Answer","","",103,1
"6071","joseph altonji","Yale","Agree","5","<a href=""http://www.ifs.org.uk/mirrleesreview/dimensions/ch5.pdf"" target=""_blank-see background information here</a><br>",103,1
"6072","alan auerbach","Berkeley","Agree","5","",103,1
"6073","david autor","MIT","Strongly Agree","10","Taxing negative externalities reduces economic distortions; taxing labor creates them. This is the tax equivalent of a free lunch!<br>",103,1
"6074","katherine baicker","Chicago","Agree","3","",103,1
"6075","marianne bertrand","Chicago","Agree","4","",103,1
"6076","raj chetty","Stanford","Strongly Agree","10","",103,1
"6077","judith chevalier","Yale","Agree","10","Since carbon is a worldwide pollutant, leakage of production to other jurisdictions remains a concern.<br>",103,1
"6078","janet currie","Princeton","Agree","6","",103,1
"6079","david cutler","Harvard","Strongly Agree","8","",103,1
"6080","angus deaton","Princeton","Strongly Agree","9","",103,1
"6081","darrell duffie","Stanford","Strongly Agree","4","Pollution is a negative externality. It is hard to argue the same for employment! If $150b per year isn't way too much tax, this is obvious.<br>",103,1
"6082","aaron edlin","Berkeley","Did Not Answer","","",103,1
"6083","barry eichengreen","Berkeley","Strongly Agree","7","",103,1
"6084","ray fair","Yale","Strongly Agree","8","",103,1
"6085","pinelopi goldberg","Yale","Agree","6","",103,1
"6086","claudia goldin","Harvard","Agree","3","",103,1
"6087","austan goolsbee","Chicago","Agree","6","but partly b/c statement intentionally doesn't consider distributional or implementation issues with carbon taxes.<br>",103,1
"6088","michael greenstone","Chicago","Strongly Agree","9","The $20 tax is v close to U.S. government's estimate of the social cost of carbon of about $21 per ton. See links below for more details.<br><a href=""http://ssrn.com/abstract=1793366"" target=""_blank-see background information here</a><br><a href=""http://www.epa.gov/oms/climate/regulations/scc-tsd.pdf"" target=""_blank-see background information here</a><br>",103,1
"6089","robert hall","Stanford","Uncertain","4","There's reasonable evidence that carbon emissions raise the temp, but it is less clear that the net effects of warming are negative.<br>",103,1
"6090","bengt holmstrom","MIT","Strongly Agree","10","",103,1
"6091","caroline hoxby","Stanford","Did Not Answer","","",103,1
"6092","kenneth judd","Stanford","Agree","7","",103,1
"6093","anil kashyap","Chicago","Agree","1","",103,1
"6094","pete klenow","Stanford","Strongly Agree","8","",103,1
"6095","edward lazear","Stanford","Did Not Answer","","",103,1
"6096","jonathan levin","Stanford","Agree","4","Agree at a high level, but implementation of such a tax could create many new distortions and loopholes.<br>",103,1
"6097","eric maskin","Harvard","Agree","8","",103,1
"6098","william nordhaus","Yale","Strongly Agree","10","",103,1
"6099","maurice obstfeld","Berkeley","Agree","5","The likely outcome, though the answer depends on relevant elasticities.<br>",103,1
"6100","emmanuel saez","Berkeley","Agree","7","",103,1
"6101","jose scheinkman","Princeton","Strongly Agree","8","",103,1
"6102","richard schmalensee","MIT","Strongly Agree","9","",103,1
"6103","hyun song-shin","Princeton","Agree","7","",103,1
"6104","nancy stokey","Chicago","Agree","6","",103,1
"6105","richard thaler","Chicago","Agree","8","Great on effiency but not on progressivity so you have to get that right elsewhere.<br>",103,1
"6106","christopher udry","Yale","Strongly Agree","8","The details matter, and CO2 reduction is a global public good, so this policy is not sufficient. But it's a step forward.<br>",103,1
"6107","luigi zingales","Chicago","Strongly Agree","7","",103,1
"6108","daron acemoglu","MIT","Agree","4","",104,1
"6109","alberto alesina","Harvard","Strongly Agree","9","",104,1
"6110","joseph altonji","Yale","Strongly Agree","8","""Easy"" is too strong, but the growth rate of medical costs and adverse demographic trends pose long term problems<br>",104,1
"6111","alan auerbach","Berkeley","Strongly Agree","9","",104,1
"6112","david autor","MIT","Disagree","7","With or w/o Medicare, it's hard to do a budget that fixes federal deficits over 10 yrs. But ignoring Med makes it easier than it should be!<br>",104,1
"6113","katherine baicker","Chicago","Agree","4","",104,1
"6114","marianne bertrand","Chicago","Agree","3","",104,1
"6115","raj chetty","Stanford","Strongly Agree","9","",104,1
"6116","judith chevalier","Yale","Agree","9","",104,1
"6117","janet currie","Princeton","Uncertain","6","It might be easy for technocrats to devise a plan, but it seems very difficult to get politicians to do so.<br>",104,1
"6118","david cutler","Harvard","Disagree","7","Nothing is easy about deficit reduction. <br>",104,1
"6119","angus deaton","Princeton","Strongly Agree","9","",104,1
"6120","darrell duffie","Stanford","Strongly Agree","3","",104,1
"6121","aaron edlin","Berkeley","Agree","7","",104,1
"6122","barry eichengreen","Berkeley","Uncertain","5","",104,1
"6123","ray fair","Yale","Agree","5","",104,1
"6124","pinelopi goldberg","Yale","Agree","6","",104,1
"6125","claudia goldin","Harvard","Agree","3","",104,1
"6126","austan goolsbee","Chicago","Strongly Disagree","10","you think a significant 10 yr deficit cut would be 'easy'? welcome to earth, friend.<br>",104,1
"6127","michael greenstone","Chicago","Agree","3","Disagree w word ""easy"" but agree that the budget problem for the next 10 years differs from the one over longer terms.<br>",104,1
"6128","robert hall","Stanford","Disagree","6","Health spending spending will rise a lot in 10 years, so a plan that limited the deficit for that period of time would be a good step<br>",104,1
"6129","bengt holmstrom","MIT","Did Not Answer","","",104,1
"6130","caroline hoxby","Stanford","Did Not Answer","","",104,1
"6131","kenneth judd","Stanford","Did Not Answer","","",104,1
"6132","anil kashyap","Chicago","Strongly Agree","7","",104,1
"6133","pete klenow","Stanford","Strongly Agree","10","<a href=""http://www.cbo.gov/sites/default/files/cbofiles/attachments/LTBO_One-Col_2.pdf"" target=""_blank-see background information here</a><br>",104,1
"6134","edward lazear","Stanford","Did Not Answer","","",104,1
"6135","jonathan levin","Stanford","Uncertain","4","Easier, yes, but CBO says even eliminating deficits over ten years means noticeable spending cuts and/or tax increases.<br><a href=""http://www.cbo.gov/publication/43539"" target=""_blank-see background information here</a><br>",104,1
"6136","eric maskin","Harvard","Agree","8","",104,1
"6137","william nordhaus","Yale","No Opinion","","",104,1
"6138","maurice obstfeld","Berkeley","Agree","7","",104,1
"6139","emmanuel saez","Berkeley","Uncertain","5","Controlling US health care costs is necessary (and not only for fiscal sustainability). But other fiscal issues also need addressing.<br>",104,1
"6140","jose scheinkman","Princeton","No Opinion","","",104,1
"6141","richard schmalensee","MIT","Did Not Answer","","",104,1
"6142","hyun song-shin","Princeton","Agree","5","",104,1
"6143","nancy stokey","Chicago","Agree","9","",104,1
"6144","richard thaler","Chicago","Agree","8","arithmetic<br>",104,1
"6145","christopher udry","Yale","Agree","5","""Easy"" might not be the right word.<br>",104,1
"6146","luigi zingales","Chicago","Agree","5","",104,1
"6147","daron acemoglu","MIT","Uncertain","4","Alternative could be as sound if it reduced growth rate of Social Security (e.g. by means testing) and reduced inefficient tax deductions.<br>",104,2
"6148","alberto alesina","Harvard","Strongly Agree","10","",104,2
"6149","joseph altonji","Yale","Strongly Agree","9","",104,2
"6150","alan auerbach","Berkeley","Strongly Agree","9","",104,2
"6151","david autor","MIT","Strongly Agree","10","Rising health care costs are the greatest threat to U.S. fiscal solvency (that we know of) looking over multiple decades.<br>",104,2
"6152","katherine baicker","Chicago","Agree","4","",104,2
"6153","marianne bertrand","Chicago","Agree","3","",104,2
"6154","raj chetty","Stanford","Agree","8","",104,2
"6155","judith chevalier","Yale","Strongly Agree","9","",104,2
"6156","janet currie","Princeton","Agree","9","Health care costs are driving the growth in the deficit.<br>",104,2
"6157","david cutler","Harvard","Strongly Agree","10","",104,2
"6158","angus deaton","Princeton","Strongly Agree","9","",104,2
"6159","darrell duffie","Stanford","Strongly Agree","3","",104,2
"6160","aaron edlin","Berkeley","Agree","7","An important caveat though: It can be difficult to know today, what will lower long term growth more than 10 years out.<br>",104,2
"6161","barry eichengreen","Berkeley","Uncertain","5","",104,2
"6162","ray fair","Yale","Agree","5","",104,2
"6163","pinelopi goldberg","Yale","Agree","6","",104,2
"6164","claudia goldin","Harvard","Uncertain","3","Depends what the alternative is.<br>",104,2
"6165","austan goolsbee","Chicago","Agree","6","if it meant the lower growth rate would continue, then yes, clearly<br>",104,2
"6166","michael greenstone","Chicago","Strongly Agree","1","True but more revenues need to be part of solution. We are collecting low levels of revenue by historical stds and population is aging.<br>",104,2
"6167","robert hall","Stanford","Agree","5","Rationalizing Medicare and bringing contributions for higher-income families into line with benefits would be a good idea on its own.<br>",104,2
"6168","bengt holmstrom","MIT","Did Not Answer","","",104,2
"6169","caroline hoxby","Stanford","Did Not Answer","","",104,2
"6170","kenneth judd","Stanford","Did Not Answer","","",104,2
"6171","anil kashyap","Chicago","Strongly Agree","10","Medicare and Medicaid are (along with growth) the key factors for long term sustainability. We never paid for the Bush plan, let alone ACA.<br>",104,2
"6172","pete klenow","Stanford","Strongly Agree","10","",104,2
"6173","edward lazear","Stanford","Did Not Answer","","",104,2
"6174","jonathan levin","Stanford","Agree","3","Hard to disagree, but question seems too hypothetical - fiscal situation also would look better with 5%/ yr GDP growth!<br>",104,2
"6175","eric maskin","Harvard","Agree","7","",104,2
"6176","william nordhaus","Yale","Agree","6","",104,2
"6177","maurice obstfeld","Berkeley","Agree","7","",104,2
"6178","emmanuel saez","Berkeley","Agree","6","",104,2
"6179","jose scheinkman","Princeton","Agree","5","",104,2
"6180","richard schmalensee","MIT","Did Not Answer","","",104,2
"6181","hyun song-shin","Princeton","Agree","8","",104,2
"6182","nancy stokey","Chicago","Agree","8","",104,2
"6183","richard thaler","Chicago","Agree","7","ditto. Real issue should be to abolish the 10 year window and especially misleading attempts to disguise things via ""temporary"" tax cuts.<br>",104,2
"6184","christopher udry","Yale","Strongly Agree","4","",104,2
"6185","luigi zingales","Chicago","Agree","5","",104,2
"6186","daron acemoglu","MIT","Disagree","7","",105,1
"6187","alberto alesina","Harvard","Did Not Answer","","",105,1
"6188","joseph altonji","Yale","Strongly Agree","8","",105,1
"6189","alan auerbach","Berkeley","Disagree","3","",105,1
"6190","david autor","MIT","Agree","7","Long term unemployed workers are costly; many collect SSDI. Aiding GM was likely a cost effective welfare/employment program, all else aside<br>",105,1
"6191","katherine baicker","Chicago","Agree","3","",105,1
"6192","marianne bertrand","Chicago","Agree","3","",105,1
"6193","raj chetty","Stanford","Agree","3","",105,1
"6194","judith chevalier","Yale","Uncertain","9","On net I agree, but the future costs are difficult to measure. <br>",105,1
"6195","janet currie","Princeton","Agree","7","",105,1
"6196","david cutler","Harvard","Agree","6","",105,1
"6197","angus deaton","Princeton","Strongly Agree","9","",105,1
"6198","darrell duffie","Stanford","Strongly Agree","10","Absent those bailouts, a depression was much more likely. The moral hazard is now being reduced by new rules, such as for capital. <br>",105,1
"6199","aaron edlin","Berkeley","Agree","6","The past bailout, by itself, won't ensure the next one, nor would a refusal to bail firms out set a binding precedent.<br>",105,1
"6200","barry eichengreen","Berkeley","Agree","5","""Bailing out the banks"" is not a very precise characterization of the policies of 2008-9.<br>",105,1
"6201","ray fair","Yale","Uncertain","5","Too many possibilities, and hard to measure costs and benefits. <br>",105,1
"6202","pinelopi goldberg","Yale","Agree","6","The consequenses (economic and social) of a potential financial collapse would have been immense.<br>",105,1
"6203","claudia goldin","Harvard","Agree","3","",105,1
"6204","austan goolsbee","Chicago","Disagree","7","may not cost $ but was still an outrage we got to that point<br>",105,1
"6205","michael greenstone","Chicago","Strongly Agree","7","Yes. Credit markets were frozen and that was having a terrible impact on the economy. Check out a graph of the TED spread.<br>",105,1
"6206","robert hall","Stanford","Disagree","5","Not compared to an ideal policy of an orderly reorganization imposing losses on creditors according to seniority. But better than chaotic.<br>",105,1
"6207","bengt holmstrom","MIT","Did Not Answer","","",105,1
"6208","caroline hoxby","Stanford","Did Not Answer","","",105,1
"6209","kenneth judd","Stanford","Agree","6","",105,1
"6210","anil kashyap","Chicago","Uncertain","10","Bankruptcy and liquidation would have been worse, but could have nationalized a couple of the weakest ones, especially Citi. <br><a href=""http://faculty.chicagobooth.edu/anil.kashyap/research/papers/Will_the_US_Bank_Recapitalization_Succeed.pdf%20"" target=""_blank-see background information here</a><br>",105,1
"6211","pete klenow","Stanford","Uncertain","5","<a href=""http://faculty.chicagobooth.edu/luigi.zingales/papers/research/paulsons_gift.pdf"" target=""_blank-see background information here</a><br>",105,1
"6212","edward lazear","Stanford","Did Not Answer","","",105,1
"6213","jonathan levin","Stanford","Agree","3","",105,1
"6214","eric maskin","Harvard","Agree","7","",105,1
"6215","william nordhaus","Yale","Agree","7","",105,1
"6216","maurice obstfeld","Berkeley","Agree","5","",105,1
"6217","emmanuel saez","Berkeley","Agree","5","",105,1
"6218","jose scheinkman","Princeton","Did Not Answer","","",105,1
"6219","richard schmalensee","MIT","Agree","3","",105,1
"6220","hyun song-shin","Princeton","Uncertain","8","",105,1
"6221","nancy stokey","Chicago","Agree","8","",105,1
"6222","richard thaler","Chicago","Agree","6","Many details could have been improved but you could do nothing.<br>",105,1
"6223","christopher udry","Yale","Did Not Answer","","",105,1
"6224","luigi zingales","Chicago","Disagree","4","",105,1
"6225","daron acemoglu","MIT","Agree","8","",105,2
"6226","alberto alesina","Harvard","Did Not Answer","","",105,2
"6227","joseph altonji","Yale","Strongly Agree","8","",105,2
"6228","alan auerbach","Berkeley","Agree","5","",105,2
"6229","david autor","MIT","Agree","8","Putting costs aside, this is almost certainly true since many displaced workers would not have found reemployment by now in bad economy.<br>",105,2
"6230","katherine baicker","Chicago","Uncertain","4","",105,2
"6231","marianne bertrand","Chicago","Agree","3","",105,2
"6232","raj chetty","Stanford","Agree","3","",105,2
"6233","judith chevalier","Yale","Agree","8","",105,2
"6234","janet currie","Princeton","Agree","4","",105,2
"6235","david cutler","Harvard","Strongly Agree","6","",105,2
"6236","angus deaton","Princeton","Strongly Agree","8","",105,2
"6237","darrell duffie","Stanford","Uncertain","2","To answer this would require a reliable and detailed quantitative macroeconomic model, or at least expert empirical knowledge.<br>",105,2
"6238","aaron edlin","Berkeley","Agree","6","",105,2
"6239","barry eichengreen","Berkeley","Agree","5","While I agree, I would have preferred seeing the gov stand behind warantees and provide debtor in possession finance only.<br>",105,2
"6240","ray fair","Yale","Uncertain","5","Probably yes, but a very small effect. <br>",105,2
"6241","pinelopi goldberg","Yale","Agree","6","In the short run, it seems uncontroversial.<br>",105,2
"6242","claudia goldin","Harvard","Agree","3","",105,2
"6243","austan goolsbee","Chicago","Strongly Agree","10","as with banks, even if true, outrageous we ever got to that position<br>",105,2
"6244","michael greenstone","Chicago","Agree","5","the strongest argument is US auto manufacturing would be better off in the long run, which may or may not be true, but v doubtful by 2010<br>",105,2
"6245","robert hall","Stanford","Disagree","6","Again, it would have been better to reorganize with suitable losses on the junior creditors. This would not have resulted in higher unemp.<br>",105,2
"6246","bengt holmstrom","MIT","Did Not Answer","","",105,2
"6247","caroline hoxby","Stanford","Did Not Answer","","",105,2
"6248","kenneth judd","Stanford","Agree","5","",105,2
"6249","anil kashyap","Chicago","Agree","7","But traditional bankruptcy and restructuring was an option too. Challenges for financial and non-financial firms are totally different. <br><a href=""http://www.cfr.org/content/publications/attachments/Squam_Lake_Working_Paper7.pdf%20%20"" target=""_blank-see background information here</a><br>",105,2
"6250","pete klenow","Stanford","Uncertain","5","",105,2
"6251","edward lazear","Stanford","Did Not Answer","","",105,2
"6252","jonathan levin","Stanford","Agree","3","",105,2
"6253","eric maskin","Harvard","Agree","8","",105,2
"6254","william nordhaus","Yale","Strongly Agree","7","",105,2
"6255","maurice obstfeld","Berkeley","Agree","6","",105,2
"6256","emmanuel saez","Berkeley","Agree","6","",105,2
"6257","jose scheinkman","Princeton","Did Not Answer","","",105,2
"6258","richard schmalensee","MIT","Strongly Agree","7","",105,2
"6259","hyun song-shin","Princeton","Agree","7","",105,2
"6260","nancy stokey","Chicago","Agree","8","",105,2
"6261","richard thaler","Chicago","Agree","7","There was no private money available.<br>",105,2
"6262","christopher udry","Yale","Did Not Answer","","",105,2
"6263","luigi zingales","Chicago","Agree","1","",105,2
"6264","daron acemoglu","MIT","Uncertain","7","",105,3
"6265","alberto alesina","Harvard","Did Not Answer","","",105,3
"6266","joseph altonji","Yale","Agree","6","",105,3
"6267","alan auerbach","Berkeley","Uncertain","3","",105,3
"6268","david autor","MIT","Agree","6","",105,3
"6269","katherine baicker","Chicago","Uncertain","4","",105,3
"6270","marianne bertrand","Chicago","Agree","3","",105,3
"6271","raj chetty","Stanford","Agree","3","",105,3
"6272","judith chevalier","Yale","Uncertain","8","",105,3
"6273","janet currie","Princeton","Agree","5","",105,3
"6274","david cutler","Harvard","Strongly Agree","6","",105,3
"6275","angus deaton","Princeton","Strongly Agree","9","",105,3
"6276","darrell duffie","Stanford","Disagree","7","The bankruptcy law was circumvented. Absent unstated exigent (e.g. systemic) reasons, upsetting creditor rights is inefficient. <br>",105,3
"6277","aaron edlin","Berkeley","Agree","1","Incentive effects are real. Incentive effects from a decision to bail out are overstated.<br>",105,3
"6278","barry eichengreen","Berkeley","Agree","5","",105,3
"6279","ray fair","Yale","Uncertain","5","Again, hard to measure costs and benefits. <br>",105,3
"6280","pinelopi goldberg","Yale","Uncertain","6","",105,3
"6281","claudia goldin","Harvard","Uncertain","3","",105,3
"6282","austan goolsbee","Chicago","Disagree","8","",105,3
"6283","michael greenstone","Chicago","Agree","5","",105,3
"6284","robert hall","Stanford","Disagree","6","See previous answer<br>",105,3
"6285","bengt holmstrom","MIT","Did Not Answer","","",105,3
"6286","caroline hoxby","Stanford","Did Not Answer","","",105,3
"6287","kenneth judd","Stanford","Agree","5","",105,3
"6288","anil kashyap","Chicago","Uncertain","7","Costs will appear in the next crisis; the precedent for a bailout is now set. Reduced incentives for the private sector to hold dry powder.<br>",105,3
"6289","pete klenow","Stanford","Uncertain","5","<a href=""http://online.wsj.com/article/SB122783248646663009.html"" target=""_blank-see background information here</a><br>",105,3
"6290","edward lazear","Stanford","Did Not Answer","","",105,3
"6291","jonathan levin","Stanford","Agree","2","Not at all obvious at the time decision was made, and I expect many would disagree now.<br>",105,3
"6292","eric maskin","Harvard","Agree","7","",105,3
"6293","william nordhaus","Yale","Agree","6","",105,3
"6294","maurice obstfeld","Berkeley","Agree","6","",105,3
"6295","emmanuel saez","Berkeley","Agree","3","",105,3
"6296","jose scheinkman","Princeton","Did Not Answer","","",105,3
"6297","richard schmalensee","MIT","Agree","6","Moral hazard seems less of a problem with non-financial corporations.<br>",105,3
"6298","hyun song-shin","Princeton","Agree","7","",105,3
"6299","nancy stokey","Chicago","Uncertain","7","",105,3
"6300","richard thaler","Chicago","Agree","6","",105,3
"6301","christopher udry","Yale","Did Not Answer","","",105,3
"6302","luigi zingales","Chicago","Disagree","5","",105,3
"6303","daron acemoglu","MIT","Strongly Agree","8","",106,1
"6304","alberto alesina","Harvard","Did Not Answer","","",106,1
"6305","joseph altonji","Yale","Agree","3","",106,1
"6306","alan auerbach","Berkeley","Uncertain","3","",106,1
"6307","david autor","MIT","No Opinion","","",106,1
"6308","katherine baicker","Chicago","No Opinion","","",106,1
"6309","marianne bertrand","Chicago","Agree","2","",106,1
"6310","raj chetty","Stanford","No Opinion","","",106,1
"6311","judith chevalier","Yale","Agree","3","",106,1
"6312","janet currie","Princeton","Agree","2","",106,1
"6313","david cutler","Harvard","Agree","6","They should pay more for more implicit protection.<br>",106,1
"6314","angus deaton","Princeton","Strongly Agree","7","",106,1
"6315","darrell duffie","Stanford","Disagree","8","I am open minded about a size cap, but before taking this action, I think more research should be done on unintended consequences. <br>",106,1
"6316","aaron edlin","Berkeley","Agree","7","",106,1
"6317","barry eichengreen","Berkeley","Agree","8","",106,1
"6318","ray fair","Yale","Uncertain","5","Probably better to stiffen regulations. <br>",106,1
"6319","pinelopi goldberg","Yale","No Opinion","","",106,1
"6320","claudia goldin","Harvard","Agree","2","",106,1
"6321","austan goolsbee","Chicago","Uncertain","7","it wasn't really size that made them dangerous. it was interconnection. derivatives, resolution, and consolidated supervisor &gt; deposit size<br>",106,1
