"","subject","question.x","time","n_q","question.y","id"
"216","Savings Behavior","An effective way to increase savings rates of employees whose firms have defined contribution plans is to combine automatic enrollment in those plans and periodic automatic increases in their contributions (with the ability to opt out of either).","Wednesday, July 24th, 2013 10:09 am",1,"An effective way to increase savings rates of employees whose firms have defined contribution plans is to combine automatic enrollment in those plans and periodic automatic increases in their contributions (with the ability to opt out of either).",129
"217","Fiscal Policy and Savings","Sustained tax and spending policies that boost consumption in ways that reduce the saving rate are likely to lower long-run living standards.","Monday, July 8th, 2013 10:15 am",1,"Sustained tax and spending policies that boost consumption in ways that reduce the saving rate are likely to lower long-run living standards.",130
"218","Fogel on Slavery","Slavery in the United States was eradicated because of social and political events, not because itwas an unprofitable institution for slaveholders.","Friday, June 21st, 2013 7:23 am",1,"Slavery in the United States was eradicated because of social and political events, not because itwas an unprofitable institution for slaveholders.",131
"219","LNG Exports","Restricting US exports of liquefied natural gas would have adverse effects on the US economy.","Wednesday, June 5th, 2013 9:47 am",1,"Restricting US exports of liquefied natural gas would have adverse effects on the US economy.",132
"220","Infrastructure","Because the US hasunderspent on new projects, maintenance, or both, the federal government has anopportunity to increase average incomes by spending more on roads, railways,bridges and airports.","Thursday, May 23rd, 2013 8:52 am",1,"Because the US hasunderspent on new projects, maintenance, or both, the federal government has anopportunity to increase average incomes by spending more on roads, railways,bridges and airports.",133
"221","Infrastructure","Because the US hasunderspent on new projects, maintenance, or both, the federal government has anopportunity to increase average incomes by spending more on roads, railways,bridges and airports.","Thursday, May 23rd, 2013 8:52 am",1,"Past experience of<U+00A0>public spending and political economy<U+00A0>suggeststhat<U+00A0>if the government spent more on roads, railways, bridges andairports, many<U+00A0>of the projects<U+00A0>would have low or negative returns.",134
"222","Infrastructure","Past experience of<U+00A0>public spending and political economy<U+00A0>suggeststhat<U+00A0>if the government spent more on roads, railways, bridges andairports, many<U+00A0>of the projects<U+00A0>would have low or negative returns.","Thursday, May 23rd, 2013 8:52 am",2,"Because the US hasunderspent on new projects, maintenance, or both, the federal government has anopportunity to increase average incomes by spending more on roads, railways,bridges and airports.",133
"223","Infrastructure","Past experience of<U+00A0>public spending and political economy<U+00A0>suggeststhat<U+00A0>if the government spent more on roads, railways, bridges andairports, many<U+00A0>of the projects<U+00A0>would have low or negative returns.","Thursday, May 23rd, 2013 8:52 am",2,"Past experience of<U+00A0>public spending and political economy<U+00A0>suggeststhat<U+00A0>if the government spent more on roads, railways, bridges andairports, many<U+00A0>of the projects<U+00A0>would have low or negative returns.",134
"224","Charitable Deductions","Reducing the income-tax deductibility of charitable gifts is a less distortionary way to raise new revenue than raising the same amount of revenue through a proportional increase in all marginal tax rates.","Tuesday, May 7th, 2013 11:05 am",1,"Reducing the income-tax deductibility of charitable gifts is a less distortionary way to raise new revenue than raising the same amount of revenue through a proportional increase in all marginal tax rates.",135
"225","Bitcoin","A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness.","Monday, April 22nd, 2013 2:51 pm",1,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness.",136
"226","High-Debt Countries","Countries that let their debt loads get high risk losing control of their own fiscal sustainability, through an adverse feedback loop in which doubts by lenders lead to higher government bond rates, which in turn make debt problems more severe.","Tuesday, April 9th, 2013 10:25 am",1,"Countries that let their debt loads get high risk losing control of their own fiscal sustainability, through an adverse feedback loop in which doubts by lenders lead to higher government bond rates, which in turn make debt problems more severe.",137
"227","Trade Deals","Refusing to liberalize trade unless partner countries adopt new labor or environmental rules is a bad policy, because even if the new standards would reduce distortions on some dimensions, such a policy involves threatening to maintain large distortions in the form of restricted trade.","Wednesday, March 27th, 2013 9:52 am",1,"Refusing to liberalize trade unless partner countries adopt new labor or environmental rules is a bad policy, because even if the new standards would reduce distortions on some dimensions, such a policy involves threatening to maintain large distortions in the form of restricted trade.",138
"228","Early Education","Using government funds to guarantee preschool education for four-year olds would yield a much lower social return than the ones achieved by the most highly touted targeted preschool initiatives.","Tuesday, March 12th, 2013 12:04 pm",1,"Using government funds to guarantee preschool education for four-year olds would yield a much lower social return than the ones achieved by the most highly touted targeted preschool initiatives.",139
"229","Minimum Wage","Raising the federalminimum wage to $9 per hour would make it noticeably<U+00A0>harder for low-skilledworkers to find employment.","Tuesday, February 26th, 2013 10:56 am",1,"Raising the federalminimum wage to $9 per hour would make it noticeably<U+00A0>harder for low-skilledworkers to find employment.",140
"230","Minimum Wage","Raising the federalminimum wage to $9 per hour would make it noticeably<U+00A0>harder for low-skilledworkers to find employment.","Tuesday, February 26th, 2013 10:56 am",1,"The distortionary costs of raisingthe federal minimum wage to $9 per hour and indexing it to inflation aresufficiently small<U+00A0>compared with<U+00A0>the benefits to<U+00A0>low-skilledworkers<U+00A0>who can find employment<U+00A0>that this would be a desirablepolicy.",141
"231","Minimum Wage","The distortionary costs of raisingthe federal minimum wage to $9 per hour and indexing it to inflation aresufficiently small<U+00A0>compared with<U+00A0>the benefits to<U+00A0>low-skilledworkers<U+00A0>who can find employment<U+00A0>that this would be a desirablepolicy.","Tuesday, February 26th, 2013 10:56 am",2,"Raising the federalminimum wage to $9 per hour would make it noticeably<U+00A0>harder for low-skilledworkers to find employment.",140
"232","Minimum Wage","The distortionary costs of raisingthe federal minimum wage to $9 per hour and indexing it to inflation aresufficiently small<U+00A0>compared with<U+00A0>the benefits to<U+00A0>low-skilledworkers<U+00A0>who can find employment<U+00A0>that this would be a desirablepolicy.","Tuesday, February 26th, 2013 10:56 am",2,"The distortionary costs of raisingthe federal minimum wage to $9 per hour and indexing it to inflation aresufficiently small<U+00A0>compared with<U+00A0>the benefits to<U+00A0>low-skilledworkers<U+00A0>who can find employment<U+00A0>that this would be a desirablepolicy.",141
"233","High-Skilled Immigrants","The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.","Tuesday, February 12th, 2013 9:26 am",1,"The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.",142
"234","Japan¡¯s Deflation","The persistent deflation in Japan since 1997 could have been avoided had the Bank of Japan followed different monetary policies.","Tuesday, January 29th, 2013 1:02 pm",1,"The persistent deflation in Japan since 1997 could have been avoided had the Bank of Japan followed different monetary policies.",143
"235","Debt Ceiling","Because all federal spending and taxes must be approved by both houses of Congress and the executive branch, a separate debt ceiling that has to be increased periodically creates unneeded uncertainty and can potentially lead to worse fiscal outcomes.","Tuesday, January 15th, 2013 11:46 am",1,"Because all federal spending and taxes must be approved by both houses of Congress and the executive branch, a separate debt ceiling that has to be increased periodically creates unneeded uncertainty and can potentially lead to worse fiscal outcomes.",144
"236","Small Firms","The federal government would make the average U.S. citizen better off by using policies that directly focus more on increasing small business growth than growth of economic output overall.","Tuesday, January 8th, 2013 9:17 am",1,"The federal government would make the average U.S. citizen better off by using policies that directly focus more on increasing small business growth than growth of economic output overall.",145
"237","Indexing","The annual indexing of Social Security benefits to increases in the consumer price index for urban wage earners and clerical workers (the CPI-W) leads to higher benefits than would be required to compensate recipients for genuine cost-of-living increases.","Tuesday, December 18th, 2012 3:02 pm",1,"The annual indexing of Social Security benefits to increases in the consumer price index for urban wage earners and clerical workers (the CPI-W) leads to higher benefits than would be required to compensate recipients for genuine cost-of-living increases.",146
"238","Carbon Taxes II","The Brookings Institution recently described a US <strong><a href=""http://www.brookings.edu/research/papers/2012/11/13-carbon-tax"" target=""_blank"">carbon tax of $20 per ton</a></strong>, increasing at 4% per year, which would raise an estimated $150 billion per year in federal revenues over the next decade. Given the negative externalities created by carbon dioxide emissions, a federal carbon tax at this rate would involve fewer harmful net distortions to the US economy than a tax increase that generated the same revenue by raising marginal tax rates on labor income across the board.","Tuesday, December 4th, 2012 1:08 pm",1,"The Brookings Institution recently described a US <strong><a href=""http://www.brookings.edu/research/papers/2012/11/13-carbon-tax"" target=""_blank"">carbon tax of $20 per ton</a></strong>, increasing at 4% per year, which would raise an estimated $150 billion per year in federal revenues over the next decade. Given the negative externalities created by carbon dioxide emissions, a federal carbon tax at this rate would involve fewer harmful net distortions to the US economy than a tax increase that generated the same revenue by raising marginal tax rates on labor income across the board.",147
"239","Ten-Year Budgets","Because federal <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_5hFa4fmjPDXbnww"" target=""_blank"">spending on Medicare and Medicaid</a> will continue to grow under current policy beyond the 10-year window of most political budget debates, it is easy for a politician to devise a budget plan that would reduce federal deficits over the next decade without really making the U.S. fiscally sustainable.","Tuesday, November 20th, 2012 11:13 am",1,"Because federal <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_5hFa4fmjPDXbnww"" target=""_blank"">spending on Medicare and Medicaid</a> will continue to grow under current policy beyond the 10-year window of most political budget debates, it is easy for a politician to devise a budget plan that would reduce federal deficits over the next decade without really making the U.S. fiscally sustainable.",148
"240","Ten-Year Budgets","Because federal <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_5hFa4fmjPDXbnww"" target=""_blank"">spending on Medicare and Medicaid</a> will continue to grow under current policy beyond the 10-year window of most political budget debates, it is easy for a politician to devise a budget plan that would reduce federal deficits over the next decade without really making the U.S. fiscally sustainable.","Tuesday, November 20th, 2012 11:13 am",1,"Comparing two plans that would reduce federal budget deficits by identical amounts in each of the next10 years, one that did so partly by reducing significantly the long-term growth rate of Medicare and Medicaid spending would do more to make the U.S. budget fiscally sustainable than one that did not lower the growth of these spending programs.",149
"241","Ten-Year Budgets","Comparing two plans that would reduce federal budget deficits by identical amounts in each of the next10 years, one that did so partly by reducing significantly the long-term growth rate of Medicare and Medicaid spending would do more to make the U.S. budget fiscally sustainable than one that did not lower the growth of these spending programs.","Tuesday, November 20th, 2012 11:13 am",2,"Because federal <a href=""http://www.igmchicago.org/igm-economic-experts-panel/poll-results?SurveyID=SV_5hFa4fmjPDXbnww"" target=""_blank"">spending on Medicare and Medicaid</a> will continue to grow under current policy beyond the 10-year window of most political budget debates, it is easy for a politician to devise a budget plan that would reduce federal deficits over the next decade without really making the U.S. fiscally sustainable.",148
"242","Ten-Year Budgets","Comparing two plans that would reduce federal budget deficits by identical amounts in each of the next10 years, one that did so partly by reducing significantly the long-term growth rate of Medicare and Medicaid spending would do more to make the U.S. budget fiscally sustainable than one that did not lower the growth of these spending programs.","Tuesday, November 20th, 2012 11:13 am",2,"Comparing two plans that would reduce federal budget deficits by identical amounts in each of the next10 years, one that did so partly by reducing significantly the long-term growth rate of Medicare and Medicaid spending would do more to make the U.S. budget fiscally sustainable than one that did not lower the growth of these spending programs.",149
"243","Bailouts: Banks and Automakers","Taking into account all of the economic consequences <U+2014> including the incentives of banks to ensure their own liquidity and solvency in the future <U+2014> the benefits of bailing out U.S. banks in 2008 will end up exceeding the costs.","Tuesday, November 13th, 2012 10:27 am",1,"Taking into account all of the economic consequences <U+2014> including the incentives of banks to ensure their own liquidity and solvency in the future <U+2014> the benefits of bailing out U.S. banks in 2008 will end up exceeding the costs.",150
"244","Bailouts: Banks and Automakers","Taking into account all of the economic consequences <U+2014> including the incentives of banks to ensure their own liquidity and solvency in the future <U+2014> the benefits of bailing out U.S. banks in 2008 will end up exceeding the costs.","Tuesday, November 13th, 2012 10:27 am",1,"Because GM and Chrysler were bailed out in 2008-09, the U.S. unemployment rate was lower at the end of 2010 than it would it have been if Congress and the executive branch had not intervened.",151
"245","Bailouts: Banks and Automakers","Taking into account all of the economic consequences <U+2014> including the incentives of banks to ensure their own liquidity and solvency in the future <U+2014> the benefits of bailing out U.S. banks in 2008 will end up exceeding the costs.","Tuesday, November 13th, 2012 10:27 am",1,"Taking into account all of the economic consequences <U+2014> including effects on corporate managers' incentives and on creditors' expectations of how their claims will be treated in future bankruptcies <U+2014> the benefits of bailing out GM and Chrysler will end up exceeding the costs.",152
"246","Bailouts: Banks and Automakers","Because GM and Chrysler were bailed out in 2008-09, the U.S. unemployment rate was lower at the end of 2010 than it would it have been if Congress and the executive branch had not intervened.","Tuesday, November 13th, 2012 10:27 am",2,"Taking into account all of the economic consequences <U+2014> including the incentives of banks to ensure their own liquidity and solvency in the future <U+2014> the benefits of bailing out U.S. banks in 2008 will end up exceeding the costs.",150
"247","Bailouts: Banks and Automakers","Because GM and Chrysler were bailed out in 2008-09, the U.S. unemployment rate was lower at the end of 2010 than it would it have been if Congress and the executive branch had not intervened.","Tuesday, November 13th, 2012 10:27 am",2,"Because GM and Chrysler were bailed out in 2008-09, the U.S. unemployment rate was lower at the end of 2010 than it would it have been if Congress and the executive branch had not intervened.",151
"248","Bailouts: Banks and Automakers","Because GM and Chrysler were bailed out in 2008-09, the U.S. unemployment rate was lower at the end of 2010 than it would it have been if Congress and the executive branch had not intervened.","Tuesday, November 13th, 2012 10:27 am",2,"Taking into account all of the economic consequences <U+2014> including effects on corporate managers' incentives and on creditors' expectations of how their claims will be treated in future bankruptcies <U+2014> the benefits of bailing out GM and Chrysler will end up exceeding the costs.",152
"249","Bailouts: Banks and Automakers","Taking into account all of the economic consequences <U+2014> including effects on corporate managers' incentives and on creditors' expectations of how their claims will be treated in future bankruptcies <U+2014> the benefits of bailing out GM and Chrysler will end up exceeding the costs.","Tuesday, November 13th, 2012 10:27 am",3,"Taking into account all of the economic consequences <U+2014> including the incentives of banks to ensure their own liquidity and solvency in the future <U+2014> the benefits of bailing out U.S. banks in 2008 will end up exceeding the costs.",150
"250","Bailouts: Banks and Automakers","Taking into account all of the economic consequences <U+2014> including effects on corporate managers' incentives and on creditors' expectations of how their claims will be treated in future bankruptcies <U+2014> the benefits of bailing out GM and Chrysler will end up exceeding the costs.","Tuesday, November 13th, 2012 10:27 am",3,"Because GM and Chrysler were bailed out in 2008-09, the U.S. unemployment rate was lower at the end of 2010 than it would it have been if Congress and the executive branch had not intervened.",151
"251","Bailouts: Banks and Automakers","Taking into account all of the economic consequences <U+2014> including effects on corporate managers' incentives and on creditors' expectations of how their claims will be treated in future bankruptcies <U+2014> the benefits of bailing out GM and Chrysler will end up exceeding the costs.","Tuesday, November 13th, 2012 10:27 am",3,"Taking into account all of the economic consequences <U+2014> including effects on corporate managers' incentives and on creditors' expectations of how their claims will be treated in future bankruptcies <U+2014> the benefits of bailing out GM and Chrysler will end up exceeding the costs.",152
"252","Big Banks","The U.S government should make further efforts to shrink the size of the country's largest banks <U+2014> such as by capping the size of their liabilities or penalizing large banks more heavily through taxes or other means <U+2014> because the existing regulations do not require the biggest banks to internalize enough of the ""too-big-to-fail"" risks that they pose.","Tuesday, November 6th, 2012 9:55 am",1,"The U.S government should make further efforts to shrink the size of the country's largest banks <U+2014> such as by capping the size of their liabilities or penalizing large banks more heavily through taxes or other means <U+2014> because the existing regulations do not require the biggest banks to internalize enough of the ""too-big-to-fail"" risks that they pose.",153
"253","Big Banks","The U.S government should make further efforts to shrink the size of the country's largest banks <U+2014> such as by capping the size of their liabilities or penalizing large banks more heavily through taxes or other means <U+2014> because the existing regulations do not require the biggest banks to internalize enough of the ""too-big-to-fail"" risks that they pose.","Tuesday, November 6th, 2012 9:55 am",1,"The economic benefits to the U.S. of having ahandful of banks with balance sheets greater than $1 trillion are small.",154
"254","Big Banks","The economic benefits to the U.S. of having ahandful of banks with balance sheets greater than $1 trillion are small.","Tuesday, November 6th, 2012 9:55 am",2,"The U.S government should make further efforts to shrink the size of the country's largest banks <U+2014> such as by capping the size of their liabilities or penalizing large banks more heavily through taxes or other means <U+2014> because the existing regulations do not require the biggest banks to internalize enough of the ""too-big-to-fail"" risks that they pose.",153
"255","Big Banks","The economic benefits to the U.S. of having ahandful of banks with balance sheets greater than $1 trillion are small.","Tuesday, November 6th, 2012 9:55 am",2,"The economic benefits to the U.S. of having ahandful of banks with balance sheets greater than $1 trillion are small.",154
"256","Manufacturing","The federal government would make the average U.S. citizen better off by using policies that directly focus more on increasing manufacturing employment than employment in other sectors.","Tuesday, October 30th, 2012 9:18 am",1,"The federal government would make the average U.S. citizen better off by using policies that directly focus more on increasing manufacturing employment than employment in other sectors.",155
"257","Manufacturing","The federal government would make the average U.S. citizen better off by using policies that directly focus more on increasing manufacturing employment than employment in other sectors.","Tuesday, October 30th, 2012 9:18 am",1,"Because firms and inventors do not capture the full returns from research and development, the government would increase the average well-being of Americans (and potentially of others too) by favoring R&amp;D using the tax code.",156
"258","Manufacturing","Because firms and inventors do not capture the full returns from research and development, the government would increase the average well-being of Americans (and potentially of others too) by favoring R&amp;D using the tax code.","Tuesday, October 30th, 2012 9:18 am",2,"The federal government would make the average U.S. citizen better off by using policies that directly focus more on increasing manufacturing employment than employment in other sectors.",155
"259","Manufacturing","Because firms and inventors do not capture the full returns from research and development, the government would increase the average well-being of Americans (and potentially of others too) by favoring R&amp;D using the tax code.","Tuesday, October 30th, 2012 9:18 am",2,"Because firms and inventors do not capture the full returns from research and development, the government would increase the average well-being of Americans (and potentially of others too) by favoring R&amp;D using the tax code.",156
"260","Medicare","Consider one of two proposals for restraining future Medicare spending, each by the same amount: The method that President Obama enacted in the Affordable Care Act <U+2014> reducing Medicare-related payments to private insurers and altering the payment system for doctors and hospitals <U+2014> imposes risks on future Medicare patients because over time the supply of doctors, hospitals and insurers willing to offer them health services may decline in response to restrained payments.","Tuesday, October 23rd, 2012 2:27 pm",1,"Consider one of two proposals for restraining future Medicare spending, each by the same amount: The method that President Obama enacted in the Affordable Care Act <U+2014> reducing Medicare-related payments to private insurers and altering the payment system for doctors and hospitals <U+2014> imposes risks on future Medicare patients because over time the supply of doctors, hospitals and insurers willing to offer them health services may decline in response to restrained payments.",157
"261","Medicare","Consider one of two proposals for restraining future Medicare spending, each by the same amount: The method that President Obama enacted in the Affordable Care Act <U+2014> reducing Medicare-related payments to private insurers and altering the payment system for doctors and hospitals <U+2014> imposes risks on future Medicare patients because over time the supply of doctors, hospitals and insurers willing to offer them health services may decline in response to restrained payments.","Tuesday, October 23rd, 2012 2:27 pm",1,"Consider the other of two proposals for restraining future Medicare spending, each by the same amount: The method that Governor Romney advocates <U+2014> giving future seniors a fixed payment for premiums and letting private insurers compete with Medicare <U+2014> imposes risks on future Medicare patients because competition may not be powerful to enough to offer future seniors the same quality of care that iscurrently promised without supplementing their premium support.",158
"262","Medicare","Consider the other of two proposals for restraining future Medicare spending, each by the same amount: The method that Governor Romney advocates <U+2014> giving future seniors a fixed payment for premiums and letting private insurers compete with Medicare <U+2014> imposes risks on future Medicare patients because competition may not be powerful to enough to offer future seniors the same quality of care that iscurrently promised without supplementing their premium support.","Tuesday, October 23rd, 2012 2:27 pm",2,"Consider one of two proposals for restraining future Medicare spending, each by the same amount: The method that President Obama enacted in the Affordable Care Act <U+2014> reducing Medicare-related payments to private insurers and altering the payment system for doctors and hospitals <U+2014> imposes risks on future Medicare patients because over time the supply of doctors, hospitals and insurers willing to offer them health services may decline in response to restrained payments.",157
"263","Medicare","Consider the other of two proposals for restraining future Medicare spending, each by the same amount: The method that Governor Romney advocates <U+2014> giving future seniors a fixed payment for premiums and letting private insurers compete with Medicare <U+2014> imposes risks on future Medicare patients because competition may not be powerful to enough to offer future seniors the same quality of care that iscurrently promised without supplementing their premium support.","Tuesday, October 23rd, 2012 2:27 pm",2,"Consider the other of two proposals for restraining future Medicare spending, each by the same amount: The method that Governor Romney advocates <U+2014> giving future seniors a fixed payment for premiums and letting private insurers compete with Medicare <U+2014> imposes risks on future Medicare patients because competition may not be powerful to enough to offer future seniors the same quality of care that iscurrently promised without supplementing their premium support.",158
"264","Presidents and Jobs","Claims by incumbent presidents and challengers about how many private-sector jobs can be created in a four-year period by sector-level or other targeted policies should be viewed as rough guesses, because overall macroeconomic conditions drive aggregate employment in ways that dominate any net effects of polices that focus on specific industries or households.","Monday, October 15th, 2012 8:16 am",1,"Claims by incumbent presidents and challengers about how many private-sector jobs can be created in a four-year period by sector-level or other targeted policies should be viewed as rough guesses, because overall macroeconomic conditions drive aggregate employment in ways that dominate any net effects of polices that focus on specific industries or households.",159
"265","Taxing Capital and Labor","One drawback of taxing capital income at a lower rate than labor income is that it gives people incentives to relabel income that policymakers find hard to categorize as ""capital"" rather than labor"".","Tuesday, October 9th, 2012 8:05 pm",1,"One drawback of taxing capital income at a lower rate than labor income is that it gives people incentives to relabel income that policymakers find hard to categorize as ""capital"" rather than labor"".",160
"266","Taxing Capital and Labor","One drawback of taxing capital income at a lower rate than labor income is that it gives people incentives to relabel income that policymakers find hard to categorize as ""capital"" rather than labor"".","Tuesday, October 9th, 2012 8:05 pm",1,"Despite relabeling concerns, taxing capital income at a permanently lower rate than labor income would result in higher average long-term prosperity, relative to an alternative that generated the same amount of tax revenue by permanently taxing capital and labor income at equal rates instead.",161
"267","Taxing Capital and Labor","One drawback of taxing capital income at a lower rate than labor income is that it gives people incentives to relabel income that policymakers find hard to categorize as ""capital"" rather than labor"".","Tuesday, October 9th, 2012 8:05 pm",1,"Although they do not always agree about the precise likely effects of different tax policies, another reason why economists often give disparate advice on tax policy is because they hold differing views about choices between raising average prosperity and redistributing income.",162
"268","Taxing Capital and Labor","Despite relabeling concerns, taxing capital income at a permanently lower rate than labor income would result in higher average long-term prosperity, relative to an alternative that generated the same amount of tax revenue by permanently taxing capital and labor income at equal rates instead.","Tuesday, October 9th, 2012 8:05 pm",2,"One drawback of taxing capital income at a lower rate than labor income is that it gives people incentives to relabel income that policymakers find hard to categorize as ""capital"" rather than labor"".",160
"269","Taxing Capital and Labor","Despite relabeling concerns, taxing capital income at a permanently lower rate than labor income would result in higher average long-term prosperity, relative to an alternative that generated the same amount of tax revenue by permanently taxing capital and labor income at equal rates instead.","Tuesday, October 9th, 2012 8:05 pm",2,"Despite relabeling concerns, taxing capital income at a permanently lower rate than labor income would result in higher average long-term prosperity, relative to an alternative that generated the same amount of tax revenue by permanently taxing capital and labor income at equal rates instead.",161
"270","Taxing Capital and Labor","Despite relabeling concerns, taxing capital income at a permanently lower rate than labor income would result in higher average long-term prosperity, relative to an alternative that generated the same amount of tax revenue by permanently taxing capital and labor income at equal rates instead.","Tuesday, October 9th, 2012 8:05 pm",2,"Although they do not always agree about the precise likely effects of different tax policies, another reason why economists often give disparate advice on tax policy is because they hold differing views about choices between raising average prosperity and redistributing income.",162
"271","Taxing Capital and Labor","Although they do not always agree about the precise likely effects of different tax policies, another reason why economists often give disparate advice on tax policy is because they hold differing views about choices between raising average prosperity and redistributing income.","Tuesday, October 9th, 2012 8:05 pm",3,"One drawback of taxing capital income at a lower rate than labor income is that it gives people incentives to relabel income that policymakers find hard to categorize as ""capital"" rather than labor"".",160
"272","Taxing Capital and Labor","Although they do not always agree about the precise likely effects of different tax policies, another reason why economists often give disparate advice on tax policy is because they hold differing views about choices between raising average prosperity and redistributing income.","Tuesday, October 9th, 2012 8:05 pm",3,"Despite relabeling concerns, taxing capital income at a permanently lower rate than labor income would result in higher average long-term prosperity, relative to an alternative that generated the same amount of tax revenue by permanently taxing capital and labor income at equal rates instead.",161
"273","Taxing Capital and Labor","Although they do not always agree about the precise likely effects of different tax policies, another reason why economists often give disparate advice on tax policy is because they hold differing views about choices between raising average prosperity and redistributing income.","Tuesday, October 9th, 2012 8:05 pm",3,"Although they do not always agree about the precise likely effects of different tax policies, another reason why economists often give disparate advice on tax policy is because they hold differing views about choices between raising average prosperity and redistributing income.",162
"274","U.S. State Budgets","By discounting pension liabilities at high interest rates under government accounting standards, many U.S. state and local governments understate their pension liabilities and the costs of providing pensions to public-sector workers.","Monday, October 1st, 2012 8:06 pm",1,"By discounting pension liabilities at high interest rates under government accounting standards, many U.S. state and local governments understate their pension liabilities and the costs of providing pensions to public-sector workers.",163
"275","U.S. State Budgets","By discounting pension liabilities at high interest rates under government accounting standards, many U.S. state and local governments understate their pension liabilities and the costs of providing pensions to public-sector workers.","Monday, October 1st, 2012 8:06 pm",1,"During the next two decades some U.S. states, unless they substantially increase taxes, cut spending, and/or change public-sector pensions, will require a combination of severe austerity budgets, a federal bailout, and/or default.",164
"276","U.S. State Budgets","During the next two decades some U.S. states, unless they substantially increase taxes, cut spending, and/or change public-sector pensions, will require a combination of severe austerity budgets, a federal bailout, and/or default.","Monday, October 1st, 2012 8:06 pm",2,"By discounting pension liabilities at high interest rates under government accounting standards, many U.S. state and local governments understate their pension liabilities and the costs of providing pensions to public-sector workers.",163
"277","U.S. State Budgets","During the next two decades some U.S. states, unless they substantially increase taxes, cut spending, and/or change public-sector pensions, will require a combination of severe austerity budgets, a federal bailout, and/or default.","Monday, October 1st, 2012 8:06 pm",2,"During the next two decades some U.S. states, unless they substantially increase taxes, cut spending, and/or change public-sector pensions, will require a combination of severe austerity budgets, a federal bailout, and/or default.",164
"278","QE3","Even if<U+00A0>thethird round of quantitative easing that the Fed recentlyannounced<U+00A0>increases<U+00A0>real GDP growth<U+00A0>over thenext<U+00A0>two<U+00A0>years,<U+00A0>the increase will be<U+00A0>inconsequential.","Tuesday, September 25th, 2012 2:46 pm",1,"Even if<U+00A0>thethird round of quantitative easing that the Fed recentlyannounced<U+00A0>increases<U+00A0>real GDP growth<U+00A0>over thenext<U+00A0>two<U+00A0>years,<U+00A0>the increase will be<U+00A0>inconsequential.",165
"279","QE3","Even if<U+00A0>thethird round of quantitative easing that the Fed recentlyannounced<U+00A0>increases<U+00A0>real GDP growth<U+00A0>over thenext<U+00A0>two<U+00A0>years,<U+00A0>the increase will be<U+00A0>inconsequential.","Tuesday, September 25th, 2012 2:46 pm",1,"Even if<U+00A0>thethird round of quantitative easing that the Fed recentlyannounced<U+00A0>increases<U+00A0>annual consumer price inflation<U+00A0>over thenext<U+00A0>five<U+00A0>years,<U+00A0>the increase will be<U+00A0>inconsequential.",166
"280","QE3","Even if<U+00A0>thethird round of quantitative easing that the Fed recentlyannounced<U+00A0>increases<U+00A0>real GDP growth<U+00A0>over thenext<U+00A0>two<U+00A0>years,<U+00A0>the increase will be<U+00A0>inconsequential.","Tuesday, September 25th, 2012 2:46 pm",1,"Even if inflationarypressures rise substantially as a result of quantitative easing and lowinterest rates, the Federal Reserve has ample tools to rein inflation back inif it chooses to do so.",167
"281","QE3","Even if<U+00A0>thethird round of quantitative easing that the Fed recentlyannounced<U+00A0>increases<U+00A0>annual consumer price inflation<U+00A0>over thenext<U+00A0>five<U+00A0>years,<U+00A0>the increase will be<U+00A0>inconsequential.","Tuesday, September 25th, 2012 2:46 pm",2,"Even if<U+00A0>thethird round of quantitative easing that the Fed recentlyannounced<U+00A0>increases<U+00A0>real GDP growth<U+00A0>over thenext<U+00A0>two<U+00A0>years,<U+00A0>the increase will be<U+00A0>inconsequential.",165
"282","QE3","Even if<U+00A0>thethird round of quantitative easing that the Fed recentlyannounced<U+00A0>increases<U+00A0>annual consumer price inflation<U+00A0>over thenext<U+00A0>five<U+00A0>years,<U+00A0>the increase will be<U+00A0>inconsequential.","Tuesday, September 25th, 2012 2:46 pm",2,"Even if<U+00A0>thethird round of quantitative easing that the Fed recentlyannounced<U+00A0>increases<U+00A0>annual consumer price inflation<U+00A0>over thenext<U+00A0>five<U+00A0>years,<U+00A0>the increase will be<U+00A0>inconsequential.",166
"283","QE3","Even if<U+00A0>thethird round of quantitative easing that the Fed recentlyannounced<U+00A0>increases<U+00A0>annual consumer price inflation<U+00A0>over thenext<U+00A0>five<U+00A0>years,<U+00A0>the increase will be<U+00A0>inconsequential.","Tuesday, September 25th, 2012 2:46 pm",2,"Even if inflationarypressures rise substantially as a result of quantitative easing and lowinterest rates, the Federal Reserve has ample tools to rein inflation back inif it chooses to do so.",167
